CRSP_ID,County_Name,Start_Description,End_Description
S.69.7.681.001,St. Louis,CR 27,CR 311
S.69.7.683.001,St. Louis,CR 431,Private Property
S.69.7.688.001,St. Louis,CR 73,Carpenter Rd
S.69.7.688.002,St. Louis,Hwy 25,Private Property
S.69.7.688.003,St. Louis,US HWY 53,Private Property
S.69.7.689.001,St. Louis,Spirit Lake Rd,Ross Rd
S.69.7.689.002,St. Louis,Admiral Rd,N macon Rd
013-071,Freeborn,CSAH 42,E LIM MYRTLE
S.69.9.3329.001,St. Louis,Pelton Rd,Pelton Rd
S.69.7.694.001,St. Louis,Albert Rd,Hwy 8
S.56.4.67.001,Otter Tail,CSAH 65,MNTH 210
S.69.7.694.003,St. Louis,CR 694 - Seville Rd,Miller Trunk Hwy
S.69.4.23.003,St. Louis,Driveway,US Hwy 53
S.69.7.694.005,St. Louis,Rice Lake Rd,Howard Chosen Rd
S.69.7.695.001,St. Louis,Gamma Rd,Kabetogama Lake
S.69.7.696.001,St. Louis,Freeman Rd,Private Property
S.56.4.4.003,Otter Tail,Vegas Corp Lmts,CSAH 60
S.73.4.54.001,Stearns,1st St,0.21 miles S of Golfview Dr
S.18.7.116.001,Crow Wing,CSAH 3,0.21 miles North of Fern Ln
S.69.7.700.001,St. Louis,CSAH 73,Landfill
S.09.7.115.001,Carlton,Brevator Road/CR 5,Big Lake Road/CR 7
S.49.4.26.002,Morrison,W LIMITS ROYALTON,E LIMITS ROYALTON
S.69.7.710.001,St. Louis,CR 39,Intersects Powers Rd/Connors Rd (CR 81)
S.69.7.711.001,St. Louis,End of Rock Lake Rd,Intersection of Powers Rd (CR 79/710) end of Day Lake Rd
S.69.7.712.001,St. Louis,Road terminates at driveway to residence,Road terminates at driveway to residence
S.69.7.713.001,St. Louis,CR 79,Road terminates at industrial facility
S.69.7.714.001,St. Louis,Road terminates at driveway to residence,Day Lake Rd
S.69.7.950.001,St. Louis,Segment terminates at road end,Miller Trunk Rd
S.69.7.382.002,St. Louis,Long Lake Drive,Hwy 37
S.69.7.720.001,St. Louis,MN-1,W Olson Rd/ CR 114
S.69.7.724.001,St. Louis,Air Base Rd,Sundby Rd
S.69.7.725.001,St. Louis,Road terminates at driveway to residence,Hwy 5
S.69.7.725.003,St. Louis,N McArthur Rd,US Hwy 53
S.69.7.727.001,St. Louis,Alborn Junction Rd,Hwy 8
S.69.7.729.001,St. Louis,Road terminates,Road terminates at driveway to residence
S.69.7.732.001,St. Louis,Savanna Rd / CR 186,Stremel Rd / CR 192
S.69.7.733.001,St. Louis,Road terminates,MN-73
S.69.7.734.001,St. Louis,Creek Rd / CR 196,Hwy 29
S.69.7.734.002,St. Louis,Road terminates at driveway to residence,Hwy 47
S.69.7.734.003,St. Louis,Hwy 7,US HWY 53
S.69.7.737.001,St. Louis,US HWY 53,Segment terminates along CR 152
S.69.7.739.001,St. Louis,Segment terminates,US HWY 53
S.69.7.740.001,St. Louis,Hill Rd / CR 193,Meadowlands Trunk Rd
S.69.7.740.002,St. Louis,Meadowlands Trunk Rd,Dart Rd / CR 204
S.69.7.740.003,St. Louis,Blue Spruce Rd / CR 211,HWY 7
S.55.7.142.002,Olmsted,Sheek St N,5th Ave SE
S.69.7.743.001,St. Louis,Saralampi Rd,Hwy 5
S.69.7.743.002,St. Louis,Hwy 5,Segment terminates along CR 158
S.69.7.745.002,St. Louis,Hwy 7,Segment terminates at driveway to residence
S.69.7.750.001,St. Louis,Hingeley Rd / CR 965,Lavell Rd / St L C 230
S.69.7.751.001,St. Louis,Gappa Rd / CR 123,Segment terminates at driveway to residence
S.73.7.122.001,Stearns,Co Rd 74,Co Rd 136
S.69.7.754.001,St. Louis,Segment terminates at driveway to residence,Elbow Lake Rd / CR 315
S.69.7.755.001,St. Louis,Kelsey Whiteface Rd / CR 160,Peary Junction Rd
S.69.7.755.002,St. Louis,Zim Rd / CR 557,Segment terminates
S.69.7.755.003,St. Louis,Woodland Rd / CR 382,Hwy 37
S.69.7.755.005,St. Louis,Hwy 7,18th Ave W
HEN.380,Hennepin,E OF PRAIRIE TO E OF CSAH 123,N OF CSAH 123 TO N COUNTY LINE
S.69.7.756.001,St. Louis,Elbow Lake Rd / CR 315,Segment terminates
S.69.7.757.001,St. Louis,Unknown,Osborn Rd / CR 757
S.69.7.759.001,St. Louis,Segment terminates along Sellers Rd,Belchner Rd / CR 7155
S.69.4.9.001,St. Louis,Intersection of Caribou Lake Rd and U.S. Route 53,Intersection of Martin Rd and Rice Lake Rd
S.69.7.898.002,St. Louis,E Grandview Rd,N Cloquet Rd
S.69.7.763.001,St. Louis,Segment terminates at end of road,Hwy 5
S.69.7.764.001,St. Louis,Segment terminates at end of road,CR 500
S.69.7.766.001,St. Louis,Shannon Lake Rd / CR 484,E Rd CR 931
S.69.7.769.001,St. Louis,Segment terminates along CR 769,Willow River Rd
S.69.7.771.001,St. Louis,Rice Lake Rd / CR 4,Segment terminates at end of Van Rd
S.69.7.772.001,St. Louis,Osborn Rd / CR 461,Segment terminates at end of road
S.56.4.82.002,Otter Tail,Dalton Corp Lmts,Dalton Corp Lmts
S.56.4.14.002,Otter Tail,CSAH 49,Richville Corp Lmts
S.73.4.5.002,Stearns,1.25 miles W of Co Rd 2,12th Ave NE
S.69.7.784.001,St. Louis,Hwy 37,Iron Junction Rd / CR 452
S.69.7.786.001,St. Louis,CR 576,Naughton Rd / CR 65
S.69.7.788.001,St. Louis,Sax Rd / CR 28,Segment terminates at road end
S.69.7.788.002,St. Louis,Town Line Rd,Hwy 37
S.69.7.788.003,St. Louis,CR 101,Maxwell Rd
S.69.7.788.004,St. Louis,Segment terminates at road end,Old Hwy 169 / CR 708
S.69.7.788.005,St. Louis,Old Hwy 169 / CR 708,Segment terminates at road end
S.04.4.30.003,Beltrami,Hwy 71,0.53 miles E of 4th St E
HEN.369,Hennepin,@ USTH 12,@ CSAH 50/CSAH 17
S.69.7.790.001,St. Louis,Hwy 7,Segment terminates at road end
S.69.7.791.001,St. Louis,CR 766,Hwy 73
S.69.7.791.002,St. Louis,Barrett Rd / CR 445,Sherwood Anderson Rd / CR 668
S.69.7.792.001,St. Louis,Hwy 21,Segment terminates at road end
S.69.7.795.002,St. Louis,Virginia Ely Rd,Segment terminates at road end
S.69.7.796.001,St. Louis,Salo Rd / CR 615,Hwy 21
S.69.7.797.002,St. Louis,CR 585,Segment terminates at road end
S.69.7.798.001,St. Louis,Segment terminates at road end,Williams Rd / CR 340
S.55.4.34.003,Olmsted,Olmsted CTH 22/Salem Rd SW,USTH 63
S.69.7.804.001,St. Louis,Town Line Rd,Segment terminates at road end
S.69.7.805.001,St. Louis,Wuori Rd,E Reid Rd / CR 206
S.69.7.807.001,St. Louis,Ahlstrand Rd / W Saari Rf,Segment terminates at road end
S.69.7.812.001,St. Louis,Shilhon Rd,Segment terminates at road end
S.69.7.815.001,St. Louis,Water Hen Rd / CR 223,Pearson Dr
S.69.7.816.001,St. Louis,Graff Rd / CR 826,Prairie Lake Rd / CR 51
S.69.7.817.001,St. Louis,Segment terminates at road end,Hwy 5
S.69.7.820.001,St. Louis,Segment terminates at road end,Brown Rd / CR 78
S.69.7.821.001,St. Louis,Segment terminates at road end,CR 166
S.69.7.822.001,St. Louis,Hwy 73,Segment terminates along CR 822
S.69.7.823.001,St. Louis,Graff Rd,CR 124
S.69.7.825.001,St. Louis,Graff Rd,Segment ends along Rasmussen Rd at intersection with W Balsm Rd
S.69.7.826.001,St. Louis,Segment terminates at road end,Wright Rd
S.69.7.827.001,St. Louis,Segment terminates at road end,Hwy 73
S.69.7.829.001,St. Louis,Segment terminates at road end,S Savanna Rd / CR 186
S.69.7.830.001,St. Louis,Segment terminates at road end,S Savanna Rd / CR 186
S.69.7.831.001,St. Louis,Segment terminates at road end,Hwy 73
S.69.7.832.001,St. Louis,Laurie Rd / CR 837,Segment terminates at road end
S.69.7.241.001,St. Louis,T-Intersection of W Tischer Rd and Maxwell Rd,Intersection of Maxwell Rd and Oak St
S.69.7.833.001,St. Louis,Mirbat Rd / CR 840,Genew Rd / CR 839
S.69.7.834.001,St. Louis,Laurie Rd / CR 837,Savanna Rd / CR 186
S.69.7.835.002,St. Louis,Johnson Rd,Hwy 73
S.69.7.836.001,St. Louis,Evergreen Rd / CR 831,Floodwood Rd / CR 832
S.69.7.837.001,St. Louis,Segment terminates at road end,Loop Rd / CR 834
S.73.7.157.002,Stearns,0.23 miles NW of 2nd Ave NW,2nd Ave NW
S.69.7.837.003,St. Louis,Segment terminates at road end,Hwy 73
S.69.7.838.001,St. Louis,Segment terminates at road end,Triplett Rd / CR 836
S.69.7.839.001,St. Louis,Segment terminates at road end,U.S. Rte 2
S.69.7.839.002,St. Louis,U.S. Rte 2,U.S. Rte 2
S.69.7.840.001,St. Louis,Hwy 73,Mirbat Junction Rd / CR 833
S.69.7.843.001,St. Louis,U.S. Rte 2,Nygaard Rd / CR 844
S.69.7.844.001,St. Louis,U.S. Rte 2,Segment terminates at road end
S.69.7.845.001,St. Louis,Christiansen Rd / CR 635,Segment terminates at road end
S.69.7.846.002,St. Louis,Segment terminates at road end,Canosia Rd / CR 89
S.69.7.847.001,St. Louis,CR 851,U.S. Rte 2
S.69.7.848.001,St. Louis,Segment terminates at road end,Pine Dr / CR 851
S.69.7.848.002,St. Louis,Segment terminates at road end,McCamus Rd
S.69.7.849.001,St. Louis,Lavaque Rd / CR 48,Rice Lake Rd / CR 4
S.69.7.851.001,St. Louis,Brandon Rd,Demenge Rd
S.69.4.65.002,St. Louis,Intersection of Perch Lake Rd and Dean Forest Rd,Intersection of Perch Lake Rd and Hwy 5
S.69.7.855.001,St. Louis,Segment terminates along road,U.S. Rte 2
S.69.7.856.001,St. Louis,Nygaard Rd / CR 844,St Louis St
S.69.7.857.001,St. Louis,Mack Rd,Lamb Rd
S.69.7.859.001,St. Louis,Maple Grove Rd,Hwy 53
S.86.7.113.002,Wright,Braddock Ave NE,Hwy 25
S.69.7.860.001,St. Louis,Alborn Brookston Rd / CR 31,Segment terminates at road end
S.69.7.863.001,St. Louis,Segment terminates at road end,Brevator Rd
S.69.7.863.002,St. Louis,Segment terminates at road end,Brevator Rd / CR 80
S.69.7.866.001,St. Louis,Alborn-Brookston Rd / CR 31,Burnett Rd
S.69.7.867.001,St. Louis,Segment terminates at road end,Hwy 7
S.69.7.868.001,St. Louis,U.S. Rte 2,Albert Rd / CR 871
S.69.7.868.002,St. Louis,CR 694,Segment terminates at road end
S.69.7.868.003,St. Louis,Shipley Rd / CR 734,CR 141
S.69.7.869.001,St. Louis,Bear Trap Rd / CR 872,Hwy 33
S.69.7.871.001,St. Louis,S Anue Rd / CR 868,Independence Rd / CR 694
S.69.7.872.001,St. Louis,Albert Rd / CR 871,Bear Trap Junction Rd/ CR 879
S.69.7.873.001,St. Louis,Independence Rd / CR 874,Saginaw Rd / CR 46
S.55.4.18.001,Olmsted,Olmsted CTH 112/100th St NW,Olmsted CTH 12/5th St NE
S.69.7.875.001,St. Louis,Old Hwy 33,Seville Rd / CR 873
S.69.7.876.001,St. Louis,Seville Rd / CR 694,Segment terminates at road end
S.69.7.877.001,St. Louis,Howard Gnesen Rd / CR 2603,Arnold Rd / CR675
S.69.7.878.001,St. Louis,Crosby Rd / CR 878,Morris Thomas Rd W / CCR 56
S.69.7.879.001,St. Louis,W St Louis River Rd / CR 696,Segment terminates at road end
S.69.7.879.002,St. Louis,Morris Thomas Rd W / CR 56,Segment terminates at road end
S.69.7.880.001,St. Louis,Segment terminates at road end,Maple Grove Rd / CR 6
S.56.4.84.002,Otter Tail,New York Mills Corp Lmts,New York Mills Corp Lmts
S.69.7.882.001,St. Louis,Salli Rd / CR 850,Marshall Rd
S.69.7.523.001,St. Louis,Gappa Rd,Pelican Lake
S.09.4.61.003,Carlton,CR 138,Approx. .4 mi north of CR 141
S.69.7.886.001,St. Louis,Midway Rd,Segment terminates at road end
S.25.7.53.002,Goodhue,Spring Creek Road,US Highway 61
S.49.4.54.001,Morrison,SO CO LINE,CSAH 26
S.73.7.163.002,Stearns,0.03 miles S 1st St Se,Oakwood Ave SE
S.69.7.893.001,St. Louis,Stark Rd / CR 894,St Louis River Rd
S.73.7.181.001,Stearns,Crest Ridge Rd,Hwy 4
S.69.7.895.001,St. Louis,Brandon Rd / CR 847,Segment terminates at road end
S.49.7.259.001,Morrison,END OF ROAD,CSAH 43
S.56.4.19.001,Otter Tail,USTH 10,Bluffton Corp Lmts
S.69.7.897.002,St. Louis,Segment terminates at road end,Old Hwy 61
S.09.4.73.001,Carlton,CR 61,Approx. 300' east of CR 61
S.04.4.22.004,Beltrami,0.10 miles N of US-71 Old,US-71 Old
S.73.7.125.001,Stearns,Hwy 28,0.53 miles NE of Hwy 28
S.86.7.123.003,Wright,Co Rd 8 NW,Co Rd 39 NW
S.69.7.900.001,St. Louis,Segment terminates at road end,CR 73
S.69.7.901.001,St. Louis,Hwy 53,Hwy 53
S.69.7.907.001,St. Louis,Nett Lake Rd,Segment terminates at road end
S.69.7.908.001,St. Louis,Segment terminates at road end,Lindsey Rd / CR 720
S.55.4.36.002,Olmsted,USTH 52,Olmsted CTH 143
S.69.7.912.001,St. Louis,E Goodell Rd / CR 652,E Anton Rd / CR 492
S.69.7.912.002,St. Louis,Segment terminates at road end,Hwy 25
S.73.4.13.004,Stearns,0.25 miles E of Co Rd 175,Hwy 4
S.69.7.917.001,St. Louis,Hwy 25,Samuelson Rd / CR 668
S.69.7.918.001,St. Louis,Segment terminates at road end,CR 912
S.69.7.922.001,St. Louis,Franti Rd / CR 445,Segment terminates at road end
S.69.7.923.001,St. Louis,Hwy 5,Segment terminates at road end
S.69.7.923.002,St. Louis,Riddell Rd,Hwy 53
S.69.7.925.001,St. Louis,Hwy 25,Spirit Lake Rd / CR 137
S.69.7.927.001,St. Louis,Hingeley Rd / CR 965,Danahy Rd / CR 444
S.69.7.928.001,St. Louis,CR 101,Segment terminates at road end
S.09.4.7.003,Carlton,Brevator Road/CR 5,MN 33
S.69.7.930.001,St. Louis,Segment terminates at road end,Hwy 22
S.69.7.931.001,St. Louis,Segment terminates at road end,Gustafson Rd / CR 491
S.69.7.933.001,St. Louis,Meadowbrook Rd / CR 953,Olson Rd / CR 114
S.69.7.933.002,St. Louis,Olson Rd / CR 114,Segment terminates at road end
S.69.7.936.001,St. Louis,Hwy 25,Segment terminates at road end
S.69.7.936.003,St. Louis,Arola Rd,Segment terminates at road end
S.69.7.937.001,St. Louis,Ashawa Rd / CR 115,Olson Rd / CR 540
S.69.7.937.002,St. Louis,Olson Rd / CR 540,Winnifred Rd / CR 505
S.69.7.938.001,St. Louis,1,Olson Rd / CR 540
S.69.7.942.001,St. Louis,Segment terminates along Kasun Rd,Segment terminates at road end
S.69.7.942.002,St. Louis,Willow River Rd,CR 956
S.69.7.929.001,St. Louis,Old Hwy 77,Segment terminates at road end
S.69.7.948.001,St. Louis,Hwy 53,CR 361
S.13.4.9.004,Chisago,T-Intersection of Harder Ave and 440th St,.68 Miles West of Intersection of Forest Blvd and 440th St
S.69.7.951.001,St. Louis,Segment terminates at road end,E Leander Rd / CR 87
S.18.7.123.001,Crow Wing,CSAH 21 (St Mathias Rd SW),Greenwood St / 43rd St
S.55.4.36.001,Olmsted,Olmsted CTH 11,Olmsted CTH 143
S.69.7.955.003,St. Louis,Segment terminates at road end,Mineral Ave / CR 102
S.69.7.958.001,St. Louis,73,Carpenter Rd / CR 481
S.69.7.958.002,St. Louis,Carpenter Rd / CR 481,Alango Rd
S.69.7.959.001,St. Louis,Wein Rd / CR 500,1
S.69.7.962.001,St. Louis,Segment terminates at road end,Hwy 5
S.69.7.962.002,St. Louis,W Olson Rd / CR 535,Segment terminates at road end
S.69.7.962.003,St. Louis,Segment terminates at road end,S Willow River Rd / CR 75
S.69.7.965.001,St. Louis,Segment terminates at road end,Hwy 8
S.69.7.965.002,St. Louis,Hwy 29,Segment terminates at road end
S.69.7.965.003,St. Louis,Segment terminates at road end,Arkola Rd / CR 817
S.69.7.965.004,St. Louis,Oja Rd / CR 750,S Town Line Rd / CR 442
S.69.7.967.001,St. Louis,Segment terminates along Gray Rd,Hwy 53
S.69.7.969.001,St. Louis,Hwy 21,Wahisten Rd / CR 20
S.69.7.970.001,St. Louis,St Louis Co 230,Segment terminates at road end
S.69.7.970.002,St. Louis,Halkala Rd / CR 661,Sickney Rd / CR 207
S.69.7.973.001,St. Louis,Hwy 53,Segment terminates at road end
S.69.7.973.002,St. Louis,Munger Shaw Rd / CR 15,Segment terminates at road end
S.69.7.975.001,St. Louis,33,33
S.69.7.976.001,St. Louis,Hwy 53,Elora Lake Rd / CR 232
S.69.7.977.001,St. Louis,Aspen Rd / CR 210,Blue Spruce Rd / CR 211
S.69.7.978.001,St. Louis,Munger Shaw Rd / CR 15,Segment terminates at road end
S.69.7.980.001,St. Louis,St Louis Co 230,Segment terminates at road end
S.69.7.980.002,St. Louis,Hwy 7,Segment terminates at road end
S.69.7.987.001,St. Louis,Hwy 53,Heino Rd / CR 467
S.69.7.990.001,St. Louis,1,Segment terminates at road end
S.69.7.991.001,St. Louis,Segment terminates along CR 991,Hwy 29
S.69.7.992.001,St. Louis,Hwy 7,Willow Rd / CR 755
S.69.7.993.001,St. Louis,Lindsey Rd / CR 720,Segment terminates at road end
S.69.7.996.001,St. Louis,Kelsey Whiteface Rd / CR 160,Glen Junction Rd / CR 563
S.43.4.1.005,McLeod,.17 miles N of 220th St,McLeod CTH 56/Common St
S.69.7.898.004,St. Louis,Miller Trunk Hwy,Martin Rd / CR 8
S.49.4.24.002,Morrison,S LIMITS BOWLUS,CSAH 26
S.86.4.39.0010,Wright,Haug Avenue NE,Labeauxe Ave NE
S.69.9.100.001,St. Louis,S Bearhead Forest Rd,Segment terminates at road end
S.69.9.101.001,St. Louis,Loughnery Rd,""
S.69.9.1022.001,St. Louis,St Louis 319,St Louis 319
S.69.9.1046.001,St. Louis,"",Hwy 53
S.69.9.1047.001,St. Louis,CR 115,CR 115
S.69.9.121.001,St. Louis,"",Cty Hwy 110
S.69.9.122.001,St. Louis,Segment terminates at road end,Taggart Rd / CR 351
S.69.9.1530.001,St. Louis,"",""
S.69.9.3000.001,St. Louis,Priest Point Rd,""
S.69.9.3001.001,St. Louis,Bear Island River Rd,""
S.69.9.3011.001,St. Louis,CR 116,""
S.69.7.286.001,St. Louis,Jean Duluth Rd,N Tischer Rd
S.73.7.165.001,Stearns,Co Rd 21,Co Rd 2
S.69.9.3015.001,St. Louis,3 Lakes Rd,Segment terminates at road end
S.69.9.3017.001,St. Louis,Winkle Ln,3 Lakes Rd
S.69.9.3018.001,St. Louis,3 Lakes Rd,Pomander Walk Rd
S.69.9.3019.001,St. Louis,Lake Elora Dr,""
S.69.9.3021.001,St. Louis,CR 904,""
S.69.9.3022.001,St. Louis,CR 547,""
S.69.9.3030.001,St. Louis,"",""
S.69.9.3031.001,St. Louis,Gavin Rd / CR 93,""
S.73.4.9.003,Stearns,Hwy 23,Caugha Ave
S.69.9.3038.001,St. Louis,N Birch Isle Rd,Birch Point Ln
S.69.9.3039.001,St. Louis,Breezy Point Rd,""
S.69.9.3040.001,St. Louis,"",Breezy Point Rd
S.69.9.3041.001,St. Louis,"",Comstock Lake Rd
S.69.9.3042.001,St. Louis,Cabin Cir,""
S.69.9.3043.001,St. Louis,Rudy Perpichmemorial Dr,Camp 26 Trail
S.69.9.3044.001,St. Louis,E Hannon Rd,""
S.69.9.3046.001,St. Louis,Memory Lane Rd,""
051-030,Freeborn,POWERS AVE.,EAST LIMITS
S.69.4.2.001,St. Louis,Rice Lake Rd,CSAH 37
S.69.9.3052.001,St. Louis,Britt Bypass,Britt Bypass
S.69.9.3053.001,St. Louis,Osborn Rd,Folsom Rd
S.69.9.3056.001,St. Louis,"",""
S.69.9.3059.001,St. Louis,W Bay Rd,CR 108
S.69.9.3062.001,St. Louis,Clyde Rd,""
S.69.7.256.001,St. Louis,T-Intersection of W Branch Rd and Pequaywan Lake Rd,1.59 Miles North of T-Intersection of W Branch Rd and Pequaywan Lake Rd
S.69.7.653.001,St. Louis,Hwy 7,Horsehoe Ln
S.69.4.31.002,St. Louis,U.S. Rte 2,Wilton Rd (CSAH 860)
S.69.9.3068.001,St. Louis,3 Lakes Rd,""
S.18.4.45.002,Crow Wing,CR 117 / Thiesse Rd,Wright St
S.56.4.9.003,Otter Tail,MNTH 34,Becker County Line
HEN.674,Hennepin,@ CHIPPEWA ROAD-RT,@ MNTH 55
S.73.4.44.001,Stearns,Hwy 55,Co Rd 7
045-060,Freeborn,SO LIM CLARKS GROVE,CSAH 31
S.69.9.3079.001,St. Louis,Nett Lake Rd,""
S.69.9.3080.001,St. Louis,Willow River Rd,""
S.86.4.6.0010,Wright,Hemlock St,Hwy 24
S.09.7.114.001,Carlton,Brevator Road/CR 5,Airport Rd/CR 115
S.69.9.3086.001,St. Louis,Hwy 53,""
S.69.9.3090.001,St. Louis,Boundary St,""
S.09.7.117.001,Carlton,MN 33,Kinden Rd
S.86.4.33.004,Wright,0.12 miles south of 32nd Street SE,20th Street SE
S.69.9.3094.001,St. Louis,Beatty Rd / CR 540,""
S.69.9.3096.001,St. Louis,Oak Narrows Rd,""
S.69.9.3098.001,St. Louis,"",Polley Rd
S.69.9.3101.001,St. Louis,"",Tamarack Rd
S.69.9.3102.001,St. Louis,"",""
S.69.9.3105.001,St. Louis,CR 441,""
S.69.9.3106.001,St. Louis,"",""
S.73.4.74.001,Stearns,Hwy 15,22nd St
S.69.9.3111.001,St. Louis,Hwy 120,""
S.69.9.3128.001,St. Louis,N Birch Isle Rd,Birch Point Ln
S.69.9.3129.001,St. Louis,Co Highway 68,""
S.69.4.11.001,St. Louis,N Cloquet Rd,CSAH 696
S.56.4.10.002,Otter Tail,Elizabeth Corp Lmts,Elizabeth Corp Lmts
S.69.9.3133.001,St. Louis,Lake Leander Rd,White City Rd
S.69.9.3134.001,St. Louis,Breezy Point Rd,""
S.69.9.3137.001,St. Louis,"",Mud Hen Rd
S.69.9.3141.001,St. Louis,"",""
S.69.9.3143.001,St. Louis,Bodas Rd,""
020-033,Freeborn,ITASCA ST. IN ALBERT LEA,CR 101
HEN.669,Hennepin,M.P. 4.81 TO BROCKTON LANE,M.P. 6.56 TO W OF MEDINA RD.
S.73.4.5.003,Stearns,12th Ave NE,Co Rd 1
S.69.9.3154.001,St. Louis,"",""
038-020,Freeborn,CO RD 91,CSAH 46
S.56.4.50.002,Otter Tail,Deer Creek Corp Lmts,Deer Creek Corp Lmts
S.69.9.3171.001,St. Louis,"",""
S.69.9.3182.001,St. Louis,Hwy 25,Anderson Rd
S.69.9.3225.001,St. Louis,CR 518,""
S.69.9.3231.001,St. Louis,"",""
S.69.9.3248.001,St. Louis,1,""
S.69.9.3250.001,St. Louis,Hwy 73,Alborn-Pengilly Trail
S.69.9.3387.001,St. Louis,S Pit Rd,Segment terminates at end of road
S.69.9.3391.001,St. Louis,White Face Shores Dr,Segment terminates at end of road
S.55.4.16.002,Olmsted,Olmsted CTH 20,Olmsted CTH 1/Simpson RD SE
S.69.9.3411.001,St. Louis,Segment terminates at end of road,Dewey Point Rd
S.69.9.3412.001,St. Louis,"",Dewey Point Rd
S.69.9.3416.001,St. Louis,"Lorrey Ln, Curt Ln",""
S.69.7.415.001,St. Louis,CR 77,Bridge Crossing Daisy Bay
S.69.9.3424.001,St. Louis,Biss Rd / CR 65,Segment terminates at end of road
S.69.9.3425.001,St. Louis,Hwy 5,Hwy 5
S.69.9.3426.001,St. Louis,"Cty Rd 540 , Oak Narrows Rd",Segment terminates at end of road
S.69.9.3428.001,St. Louis,Water Hen Rd,W Bay Rd
S.69.9.3429.001,St. Louis,Water Hen Rd,W Bay Rd
S.69.9.3430.001,St. Louis,Water Hen Rd,W Bay Rd
S.69.9.3431.001,St. Louis,Water Hen Rd,W Bay Rd
S.69.9.3432.001,St. Louis,Reid Rd,Segment terminates at end of road
S.69.9.3433.001,St. Louis,CR 20,Segment terminates at end of road
S.69.9.3434.001,St. Louis,CR 20,Segment terminates at end of road
S.69.9.3435.001,St. Louis,Segment terminates at end of road,CR 20
S.69.9.3442.001,St. Louis,Oak Narrows Rd,Segment terminates at end of road
S.69.9.3443.001,St. Louis,E Rock Ridges Rd,Segment terminates at end of road
S.69.9.3444.001,St. Louis,Oak Narrows Rd,Schall Rd
S.69.9.3445.001,St. Louis,Timberlore Trail,""
S.69.9.3446.001,St. Louis,Oak Narrows Rd,Segment terminates at end of road
S.69.9.3447.001,St. Louis,Deerwood Dr,Segment terminates at end of road
S.69.9.3448.001,St. Louis,Deerwood Dr,Oak Narrows Rd
S.69.9.3451.001,St. Louis,N Birch Isle Rd,Segment terminates at end of road
S.69.9.3452.001,St. Louis,Water Hen Rd,""
S.69.9.3453.001,St. Louis,CR 607,""
S.69.9.3455.001,St. Louis,Linwood Lake Rd,""
S.69.9.3457.001,St. Louis,Britt Bypass,Segment terminates at end of road
S.69.9.3459.001,St. Louis,"",CR 422
S.69.9.3460.001,St. Louis,"",Segment terminates at end of road
S.69.9.3462.001,St. Louis,"",""
S.69.9.3463.001,St. Louis,Heritage Trail / CR 20,Segment terminates at end of road
HEN.648,Hennepin,@ CSAH 151 (N JCT),N OF CSAH 6 TO S LIM MAPLE PLN
S.69.9.3475.001,St. Louis,E Nett Lake Rd,Segment terminates at end of road
S.69.9.3477.001,St. Louis,Stone Ridge Rd,Segment terminates at end of road
S.69.9.3478.001,St. Louis,"Harding Rd , Stone Ridge Rd",""
S.69.9.3480.001,St. Louis,Hoodoo Rd,""
S.69.9.3481.001,St. Louis,Hoodoo Rd,""
S.69.9.3484.001,St. Louis,"",""
S.69.9.3487.001,St. Louis,"",""
S.69.9.3488.001,St. Louis,Beatty Rd,""
S.69.9.3489.001,St. Louis,Gustafson Rd,""
S.69.9.3490.001,St. Louis,CR 120,Segment terminates at end of road
S.69.9.3492.001,St. Louis,CR 490,""
S.69.9.3498.001,St. Louis,Taconite / CR 65,""
S.69.9.3507.001,St. Louis,Rudy Perpichmemorial Dr,""
S.69.9.3509.001,St. Louis,Segment terminates at end of road,Long Lake Rd
S.69.9.3511.001,St. Louis,"",""
S.69.9.3522.001,St. Louis,Segment terminates at end of road,Rudy Perpichmemorial Dr
S.69.9.3523.001,St. Louis,Jim Readdy Truch Trail,""
S.69.9.3527.001,St. Louis,CR 4,""
S.69.9.3528.001,St. Louis,Rudy Perpichmemorial Dr,Segment terminates at end of road
S.69.9.8104.001,St. Louis,Savanna Rd,""
S.69.9.8106.001,St. Louis,"",""
S.69.7.234.001,St. Louis,T-Intersection of Samuelson Rd and Lindahl Rd,T-Intersection of Samuelson Junction Rd and Lavaque Rd
S.69.9.8108.001,St. Louis,Peppard Rd,""
S.69.9.8110.001,St. Louis,1,Hwy 115
S.18.7.112.001,Crow Wing,Main St / CSAH 11,CSAH 16
S.69.9.8112.001,St. Louis,Hwy 53,""
S.69.9.8114.001,St. Louis,Heino Rd / CR 467,1
S.73.7.197.003,Stearns,Washburn Ave,423rd Ave
S.69.9.8115.002,St. Louis,Bliss Rd / CR 65,Birch Point Rd
S.69.9.8116.001,St. Louis,"",""
S.69.9.8117.001,St. Louis,1,""
S.69.9.8119.001,St. Louis,Hwy 115,Segment terminates at end of road
S.69.9.8122.001,St. Louis,"",Hwy 65
S.69.9.8125.001,St. Louis,Clearwater Lake Rd / CR 466,Segment terminates at end of road
S.69.9.8126.001,St. Louis,"Broeker Rd, Powers Rd / R 79",Hobson Lake Rd
S.69.9.8126.002,St. Louis,Hwy 5,Clearwater Lake Rd
S.69.9.8128.001,St. Louis,Hwy 5,Dewey Lake Rd / CR 134
S.69.9.8130.001,St. Louis,"",Hwy 22
S.69.9.8131.002,St. Louis,Dewey Point Rd,""
